/,15,1,17,11,13,9,other
2009,41.666666666666664,41.666666666666664,0,16.666666666666668,0,0,0.0
2010,38.46153846153846,23.076923076923077,23.076923076923077,15.384615384615385,0,0,0.0
2011,41.666666666666664,25.0,16.666666666666668,8.333333333333334,0,8.333333333333334,0.0
2012,75.0,0,25.0,0,0,0,0.0
2013,50.0,50.0,0,0,0,0,0.0
2014,58.333333333333336,33.333333333333336,0,8.333333333333334,0,0,0.0
2015,50.0,50.0,0,0,0,0,0.0
