/,15,11,1,13,17,7,other
2009,0,100.0,0,0,0,0,0.0
2010,60.0,0,20.0,20.0,0,0,0.0
2011,0,66.66666666666667,0,33.333333333333336,0,0,0.0
2012,33.333333333333336,0,33.333333333333336,33.333333333333336,0,0,0.0
2013,40.0,0,40.0,0,20.0,0,0.0
2014,28.571428571428573,28.571428571428573,0,14.285714285714286,0,28.571428571428573,0.0
2015,0,0,100.0,0,0,0,0.0
