/,GSM,GPRS,WCDMA,HSDPA,LTE-A,LTE,
2009,0.419259644572956,0.28891923398211417,0.2905389470096024,0.09409616510573911,0,0,
2010,0.09167169753848152,0.3497549194952359,0.10460403400133056,0.09438396982416372,0,0,
2011,0.1648949259057356,0.23742208843199752,0.22418692513746175,0.16893614663410927,0,0.12734001184421662,
2012,0.3251683283205521,0.11364049078035135,0.12110880838242939,0.3260576580958838,0.06246277353360093,0.1510429588132278,
2013,0.15919710458139708,0.04146182823570961,0.22864263522178616,0.09953917050691245,0.024110648424556486,0.2301416169349655,
2014,0.12048661190782693,0.16393893306920104,0.07868975993895125,0.1108551011001839,0.1377232633323585,0.24551955180954207,
2015,0,0.2572214456447155,0,0.2847060087096115,0.07381974248927038,0.2802972151803332,
