/,GSM,GPRS,WCDMA,HSDPA,LTE,
2009,0.5244023478708721,0.24621810541405476,0.4231425666247997,0.08227670967957407,0,
2010,0.12950960221264443,0.2521794953463641,0.07830745123898229,0.08565280527960122,0,
2011,0.20702021213010244,0.2311331326479963,0.2182303444920862,0.2340304821889029,0.13688561332040317,
2012,0.36045821089954794,0.11436887982069896,0.13485905294953238,0.2890864871438257,0.17944305555409037,
2013,0.2239007046042151,0.048307216146430236,0.3429639528326792,0.14930875576036867,0.23429400258419397,
2014,0.17195840637388954,0.2401855303949713,0.10905453873480882,0.1523349109978374,0.281264173686363,
2015,0,0.38583216846707324,0,0.3353962206777711,0.33526860407958675,
