/,4,72,36,52,24,84,other
2009,0,0,100.0,0,0,0,0.0
2010,40.0,13.333333333333334,20.0,6.666666666666667,13.333333333333334,0,6.666666666666667
2011,52.94117647058823,5.882352941176471,17.647058823529413,0,17.647058823529413,0,5.882352941176471
2012,58.333333333333336,12.5,16.666666666666668,0,6.25,0,6.25
2013,45.0,20.0,17.5,5.0,7.5,0,5.0
2014,16.05839416058394,9.489051094890511,8.51581508515815,12.165450121654501,4.866180048661801,4.622871046228711,44.28223844282238
2015,18.34319526627219,10.059171597633137,8.284023668639053,14.201183431952662,5.325443786982248,7.6923076923076925,36.094674556213015
